Open,High,Low,Close,Volume
41524.29000000,44141.37000000,41410.17000000,43824.10000000,46381.22781000
43820.01000000,48495.00000000,43283.03000000,48141.61000000,66244.87492000
48141.60000000,48336.59000000,47430.18000000,47634.90000000,30508.98131000
47634.89000000,49228.08000000,47088.00000000,48200.01000000,30825.05601000
48200.01000000,49536.12000000,46891.00000000,49224.94000000,46796.49372000
49224.93000000,51886.30000000,49022.40000000,51471.99000000,52125.66793000
51471.99000000,55750.00000000,50382.41000000,55315.00000000,79877.54518100
55315.00000000,55332.31000000,53357.00000000,53785.22000000,54917.37766000
53785.22000000,56100.00000000,53617.61000000,53951.43000000,46160.25785000
53955.67000000,55489.00000000,53661.67000000,54949.72000000,55177.08013000
54949.72000000,56561.31000000,54080.00000000,54659.00000000,89237.83612800
54659.01000000,57839.04000000,54415.06000000,57471.35000000,52933.16575100
57471.35000000,57680.00000000,53879.00000000,55996.93000000,53471.28550000
55996.91000000,57777.00000000,54167.19000000,57367.00000000,55808.44492000
57370.83000000,58532.54000000,56818.05000000,57347.94000000,43053.33678100
57347.94000000,62933.00000000,56850.00000000,61672.42000000,82512.90802200
61672.42000000,62378.42000000,60150.00000000,60875.57000000,35467.88096000
60875.57000000,61718.39000000,58963.00000000,61528.33000000,39099.24124000
61528.32000000,62695.78000000,59844.45000000,62009.84000000,51798.44844000
62005.60000000,64486.00000000,61322.22000000,64280.59000000,53628.10774400
64280.59000000,67000.00000000,63481.40000000,66001.41000000,51428.93485600
66001.40000000,66639.74000000,62000.00000000,62193.15000000,68538.64537000
62193.15000000,63732.39000000,60000.00000000,60688.22000000,52119.35886000
60688.23000000,61747.64000000,59562.15000000,61286.75000000,27626.93678000
61286.75000000,61500.00000000,59510.63000000,60852.22000000,31226.57676000
60852.22000000,63710.63000000,60650.00000000,63078.78000000,36853.83806000
63078.78000000,63293.48000000,59817.55000000,60328.81000000,40217.50083000
60328.81000000,61496.00000000,58000.00000000,58413.44000000,62124.49016000
58413.44000000,62499.00000000,57820.00000000,60575.89000000,61056.35301000
60575.90000000,62980.00000000,60174.81000000,62253.71000000,43973.90414000
62253.70000000,62359.25000000,60673.00000000,61859.19000000,31478.12566000
61859.19000000,62405.30000000,59945.36000000,61299.80000000,39267.63794000
61299.81000000,62437.74000000,59405.00000000,60911.11000000,44687.66672000
60911.12000000,64270.00000000,60624.68000000,63219.99000000,46368.28410000
63220.57000000,63500.00000000,60382.76000000,62896.48000000,43336.09049000
62896.49000000,63086.31000000,60677.01000000,61395.01000000,35930.93314000
61395.01000000,62595.72000000,60721.00000000,60937.12000000,31604.48749000
60940.18000000,61560.49000000,60050.00000000,61470.61000000,25590.57408000
61470.62000000,63286.35000000,61322.78000000,63273.59000000,25515.68830000
63273.58000000,67789.00000000,63273.58000000,67525.83000000,54442.09455400
67525.82000000,68524.25000000,66222.40000000,66947.66000000,44661.37806800
66947.67000000,69000.00000000,62822.90000000,64882.43000000,65171.50404600
64882.42000000,65600.07000000,64100.00000000,64774.26000000,37237.98058000
64774.25000000,65450.70000000,62278.00000000,64122.23000000,44490.10816000
64122.22000000,65000.00000000,63360.22000000,64380.00000000,22504.97383000
64380.01000000,65550.51000000,63576.27000000,65519.10000000,25705.07347000
65519.11000000,66401.82000000,63400.00000000,63606.74000000,37829.37124000
63606.73000000,63617.31000000,58574.07000000,60058.87000000,77455.15609000
60058.87000000,60840.23000000,58373.00000000,60344.87000000,46289.38491000
60344.86000000,60976.00000000,56474.26000000,56891.62000000,62146.99931000
56891.62000000,58320.00000000,55600.00000000,58052.24000000,50715.88726000
58057.10000000,59845.00000000,57353.00000000,59707.51000000,33811.59010000
59707.52000000,60029.76000000,58486.65000000,58622.02000000,31902.22785000
58617.70000000,59444.00000000,55610.00000000,56247.18000000,51724.32047000
56243.83000000,58009.99000000,55317.00000000,57541.27000000,49917.85017000
57541.26000000,57735.00000000,55837.00000000,57138.29000000,39612.04964000
57138.29000000,59398.90000000,57000.00000000,58960.36000000,42153.51522000
58960.37000000,59150.00000000,53500.00000000,53726.53000000,65927.87066000
53723.72000000,55280.00000000,53610.00000000,54721.03000000,29716.99957000
54716.47000000,57445.05000000,53256.64000000,57274.88000000,36163.71370000
57274.89000000,58865.97000000,56666.67000000,57776.25000000,40125.28009000
57776.25000000,59176.99000000,55875.55000000,56950.56000000,49161.05194000
56950.56000000,59053.55000000,56458.01000000,57184.07000000,44956.63656000
57184.07000000,57375.47000000,55777.77000000,56480.34000000,37574.05976000
56484.26000000,57600.00000000,51680.00000000,53601.05000000,58927.69027000
53601.05000000,53859.10000000,42000.30000000,49152.47000000,114203.37374800
49152.46000000,49699.05000000,47727.21000000,49396.33000000,45580.82012000
